AatroxTop,52.1,59.1,
AatroxJungle,49.7,37.6,
AatroxMid,53,3,
AatroxSupport,50.7,0.3,
AatroxAd Carry,29,0,
AhriTop,53,0.9,
AhriJungle,50.5,1.3,
AhriMid,53,97.4,
AhriSupport,53.8,0.3,
AhriAd Carry,49.5,0.1,
AkaliTop,51.2,35.6,
AkaliJungle,43.4,6.5,
AkaliMid,47.4,57.5,
AkaliSupport,33.5,0.4,
AkaliAd Carry,20.9,0.1,
AlistarTop,39.9,1,
AlistarJungle,47.9,2.3,
AlistarMid,37.5,0.5,
AlistarSupport,48.8,96.2,
AlistarAd Carry,37.1,0,
AmumuTop,46.1,0.9,
AmumuJungle,53,96.7,
AmumuMid,42.2,1.3,
AmumuSupport,47.6,1.1,
AmumuAd Carry,33.4,0,
AniviaTop,52.4,2.4,
AniviaJungle,50.7,1.2,
AniviaMid,51.6,93,
AniviaSupport,46.8,3.2,
AniviaAd Carry,57.8,0.1,
AnnieTop,53,3.2,
AnnieJungle,48.8,1.7,
AnnieMid,53.3,58.7,
AnnieSupport,48.6,36.2,
AnnieAd Carry,54.2,0.3,
AsheTop,43.7,0.4,
AsheJungle,29.9,0.8,
AsheMid,36.6,0.8,
AsheSupport,44.7,0.9,
AsheAd Carry,51.5,97,
AzirTop,42.9,2.5,
AzirJungle,36.5,1,
AzirMid,43.3,95.8,
AzirSupport,39.5,0.6,
AzirAd Carry,38.3,0.2,
BardTop,36.7,0.5,
BardJungle,43.3,2.5,
BardMid,27.2,0.5,
BardSupport,48.7,96.5,
BardAd Carry,29.6,0.1,
BlitzcrankTop,42.8,0.3,
BlitzcrankJungle,53.7,2.8,
BlitzcrankMid,35.2,0.5,
BlitzcrankSupport,53.4,96.4,
BlitzcrankAd Carry,23,0,
BrandTop,53.2,2.1,
BrandJungle,53.7,1.9,
BrandMid,52.5,63.7,
BrandSupport,54.9,32.2,
BrandAd Carry,45.1,0.2,
BraumTop,43.1,0.4,
BraumJungle,48.5,1.4,
BraumMid,34,0.2,
BraumSupport,50.9,98,
BraumAd Carry,29.8,0,
CaitlynTop,42.3,0.3,
CaitlynJungle,35.4,0.5,
CaitlynMid,34.9,0.5,
CaitlynSupport,36.1,0.1,
CaitlynAd Carry,50.6,98.5,
CassiopeiaTop,49.6,13.7,
CassiopeiaJungle,48.3,1.3,
CassiopeiaMid,47.2,81.9,
CassiopeiaSupport,48.1,2.5,
CassiopeiaAd Carry,50.3,0.6,
Cho'GathTop,48.3,54.6,
Cho'GathJungle,46.9,7.7,
Cho'GathMid,50.6,36.6,
Cho'GathSupport,41.7,1,
Cho'GathAd Carry,51.6,0.1,
CorkiTop,45.4,0.5,
CorkiJungle,31.7,0.6,
CorkiMid,40.2,3,
CorkiSupport,52.3,0.1,
CorkiAd Carry,48.9,95.8,
DariusTop,47.8,94.2,
DariusJungle,47.9,4.1,
DariusMid,42.7,1.3,
DariusSupport,41.5,0.4,
DariusAd Carry,41.4,0,
DianaTop,50.3,7.2,
DianaJungle,52.1,37.8,
DianaMid,50.7,54.8,
DianaSupport,39.9,0.1,
DianaAd Carry,45.7,0,
Dr.MundoTop,50.3,82.8,
Dr.MundoJungle,51.4,13.7,
